title,date,L,E,M,C,B,A,i+,i,i-
"Äidinkieli, ruotsi",Syksy 2011,093,078,064,048,036,026,,,
"Äidinkieli, pohjoissaame",Syksy 2011,060,050,040,030,020,010,,,
"Ranska, lyhyt oppimäärä",Syksy 2004,280,253,228,194,168,135,,,
"Venäjä, lyhyt oppimäärä",Syksy 2004,277,255,218,177,157,119,,,
"Espanja, lyhyt oppimäärä",Syksy 2004,287,263,235,201,166,124,,,
"Italia, lyhyt oppimäärä",Syksy 2004,287,264,245,225,197,140,,,
"Portugali, lyhyt oppimäärä",Syksy 2004,187,172,160,146,120,100,,,
"Latina, lyhyt oppimäärä",Syksy 2004,195,182,165,140,120,100,,,
"Latina, laajempi oppimäärä",Syksy 2004,195,182,160,140,120,100,,,
"Pohjoissaame, lyhyt oppimäärä",Syksy 2004,195,182,165,140,120,100,,,
Fysiikka,Syksy 2006,38,30,23,17,13,8,,,
Kemia,Syksy 2006,44,37,30,22,15,10,,,
Biologia,Syksy 2006,44,37,30,23,15,9,,,
Maantiede,Syksy 2006,33,27,22,18,14,10,,,
"Äidinkieli, suomi",Kevät 2009,086,072,060,045,033,022,,,
"Äidinkieli, ruotsi",Kevät 2009,090,075,062,045,033,020,,,
"Äidinkieli, suomi",Kevät 2011,087,073,062,047,035,022,,,
"Äidinkieli, ruotsi",Kevät 2011,092,078,063,048,036,025,,,
"Äidinkieli, pohjoissaame",Kevät 2011,060,050,040,030,020,010,,,
"Äidinkieli, suomi",Kevät 2010,087,073,061,046,034,022,,,
"Äidinkieli, ruotsi",Kevät 2010,093,077,063,046,034,022,,,
"Äidinkieli, pohjoissaame",Kevät 2010,060,050,040,030,020,010,,,
"Saksa, lyhyt oppimäärä",Kevät 2007,277,251,224,196,163,120,,,
"Englanti, lyhyt oppimäärä",Kevät 2007,265,240,210,180,150,120,,,
"Ranska, lyhyt oppimäärä",Kevät 2007,279,254,230,201,171,130,,,
"Venäjä, lyhyt oppimäärä",Kevät 2007,280,258,228,194,170,134,,,
"Espanja, lyhyt oppimäärä",Kevät 2007,283,265,238,204,172,136,,,
"Italia , lyhyt oppimäärä",Kevät 2007,283,265,237,199,169,130,,,
"Latina, laajempi oppimäärä",Kevät 2007,197,184,162,143,120,100,,,
"Latina, lyhyt oppimäärä",Kevät 2007,197,184,162,146,120,100,,,
"Pohjoissaame, lyhyt oppimäärä",Kevät 2007,195,182,165,140,120,100,,,
"Inarinsaame, lyhyt oppimäärä",Kevät 2007,200,175,155,135,115,100,,,
"Latina, lyhyt oppimäärä",Kevät 2005,198,183,168,144,120,097,,,
"Latina, laajempi oppimäärä",Kevät 2005,195,182,160,140,120,100,,,
"Pohjoissaame, lyhyt oppimäärä",Kevät 2005,200,180,160,140,120,100,,,
"Inarinsaame, lyhyt oppimäärä",Kevät 2005,200,180,160,140,120,100,,,
"Koltansaame, lyhyt oppimäärä",Kevät 2005,200,180,160,140,120,100,,,
"Äidinkieli, pohjoissaame",Kevät 2008,060,050,040,030,020,010,,,
Suomi toisena kielenä,Kevät 2008,188,170,154,131,113,094,,,
Svenska som andraspråk,Kevät 2008,180,165,145,130,115,095,,,
